"cmd","code","ms"
"dashboard","0","3817"
"ideas","0","350"
"cosecha","1","1484"
"detector","0","1829"
"validate","0","339"
"docs","0","335"
"doc-agent","0","859"
"sync","0","999"
"pack-cache","0","366"
"check","0","295"
"health","0","303"
"audit","0","629"
"version","0","379"
"workflow","0","277"
"stale","0","319"
"v2","0","1492"
"task","0","453"
"assign","0","241"
"benchmark","0","299"
"stability","0","669"
"session","0","471"
"efficiency","0","1134"
"sincerity","0","340"
"scope","0","270"
"cabinet","1","169"
"git","0","335"
"deps","1","483"
"naming","-1","6200"
"types","-1","6013"
"map","0","326"
"report","0","583"
"commit","0","294"
"flow","0","290"
"find-tool","0","275"
"ask","0","293"
"rules","-1","6015"
"peer","1","185"
"banner","-1","6018"
"session_close","0","347"
"reopen","0","316"
"image_gen","0","298"
"ableton-template","0","330"
"code-quality","0","418"
"consistency","0","332"
"config-check","0","289"
"why","0","290"
"db","1","177"
"hello","0","288"
"next","0","1178"
"diff","1","282"
"done","0","306"
"status","0","278"
"install","1","182"
"llm","0","370"
"music","0","334"
"route","0","393"
"setup","0","531"
"doctor","0","403"
"research","0","290"
"chronicle","0","279"
"lsp","0","469"
"repo-clone","0","319"
"repo-list","0","342"
"repo-switch","1","356"
"repo","0","314"
"select","-1","6007"
"start","1","267"
"pre-push","0","374"
"sprite-studio","0","314"
"image-studio","2","303"
"launch","-1","6017"
"self","0","643"
"field","0","309"
"boot","0","295"
"safeguard","0","289"
"hub","0","5372"
"project-init","0","296"
"project-link","0","306"
"project-unlink","0","311"
"project-state","0","310"
"deactivate","0","401"
"promote","0","372"
"learn","0","326"
"project","0","329"
"context","0","322"
"heal","0","338"
"auto","1","211"
"spiral","1","187"
"skill","0","333"
"orphans","0","314"
"spiral-agent","0","324"
"sprint","0","322"
"goals","2","340"
"habit","2","354"
"insights","0","381"
"orchestrate","1","179"
"scan","2","403"
"review","0","378"
"placeholder_scan","-1","6043"
"debt","0","449"
"risk","0","433"
"secrets","-1","6013"
"hardcode","-1","6016"
"spanish","-1","6015"
"toolsmith","0","9573"
"llm-node","0","419"
"advisor","0","415"
"rubber-duck","0","328"
"autonomous","1","171"
"inbox","-1","6015"
"siembra","0","520"
"recientes","0","417"
"work_matrix","0","370"
"neural","0","378"
"heal-paths","0","348"
"npath","0","304"
"build-clean","0","572"
"build-run","1","290"
"notify-desktop","0","341"
"notify-whatsapp","0","355"
"notify-bago","0","356"
"preflight-check","0","361"
"snapshot","2","591"
"autonomy","0","280"
"agent","0","301"
"seed","0","283"
"devmode","1","269"
"neural-toolbox","0","336"
"menu","1","243"
"size-check","0","558"
"orphan-shield","0","375"
"doc-index","-1","6017"
"canon","0","402"
"workspace-select","1","312"
"recent-projects","0","293"
"alias-manager","0","709"
"artifact-counter","0","329"
"code-metrics","0","324"
"code-search","2","273"
"env-manager","0","389"
"focus-mode","1","277"
"git-status","0","628"
"html-export","0","427"
"lint-runner","0","516"
"log-viewer","0","335"
"net-scan","-1","6008"
"personality-panel","0","366"
"ping-server","-1","6009"
"project-summary","0","610"
"script-runner","0","358"
"search-history","0","312"
"state-manager","0","312"
"template-gen","0","320"
"weekly-report","0","308"
"workflow-navigator","0","280"
"create","0","752"
"agent-config","1","379"
"gateway","1","412"
"music-saas","0","387"
"supervision","2","273"
